family,distribution,metric,n,mean,median,variance,std,cv_percent,min,q1,q3,max,range,iqr
debian,debian,system_memory_used_peak_mb,10,775.3996,773.557,70.38643582222225,8.389662437918599,1.0819792063238876,764.246,770.32575,779.3175,793.543,29.297000000000025,8.991750000000025
debian,debian,threads_mean,10,17.199999999999996,17.2,1.4024193870595766e-29,3.744889033148481e-15,2.1772610657840012e-14,17.2,17.2,17.2,17.2,0.0,0.0
debian,debian,threads_peak,10,19.0,19.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,0.0,0.0
debian,debian,elapsed_s,10,10.0117,10.011,7.566666666666254e-06,0.0027507574714369593,0.027475428463067806,10.007,10.011,10.013,10.017,0.009999999999999787,0.002000000000000668
debian,debian,samples,10,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0
arch,endeavouros,process_cpu_mean_percent,10,328.277,328.525,2.098201111111111,1.4485168660085084,0.44124835611648344,325.67,327.515,329.2375,330.2,4.529999999999973,1.722500000000025
arch,endeavouros,process_cpu_peak_percent,10,372.39000000000004,372.3,2.836555555555569,1.6842076937110722,0.45226984981097024,370.4,371.05,373.1,376.0,5.600000000000023,2.0500000000000114
arch,endeavouros,system_cpu_mean_percent,10,81.16100000000002,81.18,0.12796555555555542,0.35772273558659284,0.4407569344717201,80.54,80.97,81.4075,81.68,1.1400000000000006,0.4375
arch,endeavouros,system_cpu_peak_percent,10,92.22999999999999,92.19999999999999,0.2445555555555533,0.4945255863507502,0.5361873428935815,91.4,91.875,92.57499999999999,93.1,1.6999999999999886,0.6999999999999886
arch,endeavouros,process_rss_mean_mb,10,294.49580000000003,294.5185,6.271497733333326,2.5042958557912693,0.8503672567796448,291.259,292.452,296.4205,298.658,7.399000000000001,3.968500000000006
arch,endeavouros,process_rss_peak_mb,10,329.02139999999997,330.658,13.80327337777784,3.7152756799163424,1.1291896757828952,324.164,325.22225,331.881,332.957,8.793000000000006,6.658749999999998
arch,endeavouros,system_memory_used_mean_mb,10,794.7093,794.884,96.46753378888894,9.821788726545126,1.2358970414144048,780.091,789.1310000000001,799.88725,812.942,32.851,10.756249999999909
arch,endeavouros,system_memory_used_peak_mb,10,829.1716,828.9335,129.0121729333332,11.358352562468433,1.369843415098688,809.789,822.2355,835.80675,849.305,39.51599999999996,13.571249999999964
arch,endeavouros,threads_mean,10,16.05,16.0,0.024999999999999994,0.15811388300841894,0.9851332274667847,16.0,16.0,16.0,16.5,0.5,0.0
arch,endeavouros,threads_peak,10,19.0,19.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,0.0,0.0
arch,endeavouros,elapsed_s,10,10.0084,10.0085,2.4888888888888932e-06,0.0015776212754932324,0.015762971858571125,10.006,10.007,10.01,10.01,0.0039999999999995595,0.0030000000000001137
arch,endeavouros,samples,10,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0
fedora,fedora,process_cpu_mean_percent,10,327.12,327.095,1.6085777777777521,1.268297196156229,0.38771618860241774,324.87,326.50750000000005,327.4275,329.78,4.909999999999968,0.9199999999999591
fedora,fedora,process_cpu_peak_percent,10,369.84000000000003,369.7,1.409333333333336,1.1871534582072092,0.3209910929610667,368.6,368.8,370.55,371.8,3.1999999999999886,1.75
fedora,fedora,system_cpu_mean_percent,10,80.931,80.91,0.11549888888888993,0.3398512746612699,0.419927190645451,80.45,80.7575,81.0,81.68,1.230000000000004,0.24250000000000682
fedora,fedora,system_cpu_peak_percent,10,91.66,91.6,0.11599999999999883,0.3405877273185263,0.37157727178543126,91.3,91.4,91.8,92.3,1.0,0.3999999999999915
fedora,fedora,process_rss_mean_mb,10,271.46990000000005,271.51599999999996,0.04867054444444677,0.22061401688117363,0.08126647443461452,271.039,271.358,271.64525,271.689,0.6500000000000341,0.2872499999999718
fedora,fedora,process_rss_peak_mb,10,302.0599,302.102,0.029795655555556806,0.1726141812121959,0.057145679122649486,301.688,302.044,302.172,302.238,0.5500000000000114,0.12800000000004275
fedora,fedora,system_memory_used_mean_mb,10,849.0379,850.0450000000001,63.72924632222225,7.983059959828828,0.9402477745491488,835.678,844.7470000000001,852.6247500000001,864.049,28.37099999999998,7.877749999999992
fedora,fedora,system_memory_used_peak_mb,10,874.4619,875.7465,69.97233721111121,8.364946934147952,0.9565822060569993,860.703,869.0382500000001,878.4825000000001,890.211,29.508000000000038,9.444250000000011
fedora,fedora,threads_mean,10,16.07,16.0,0.024555555555555574,0.15670212364724218,0.975122113548489,16.0,16.0,16.075000000000003,16.5,0.5,0.07500000000000284
fedora,fedora,threads_peak,10,19.0,19.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,0.0,0.0
fedora,fedora,elapsed_s,10,10.0083,10.008,4.011111111111204e-06,0.0020027758514399967,0.020011149260513738,10.006,10.007,10.009,10.012,0.006000000000000227,0.002000000000000668
fedora,fedora,samples,10,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0
debian,ubuntu,process_cpu_mean_percent,10,325.829,325.93499999999995,7.4786100000000015,2.734704737261411,0.8393067336736174,321.34,324.06,327.04999999999995,330.93,9.590000000000032,2.9899999999999523
debian,ubuntu,process_cpu_peak_percent,10,358.17,357.65,4.724555555555567,2.1736042775895448,0.6068638572715594,354.9,356.575,360.25,360.9,6.0,3.6750000000000114
debian,ubuntu,system_cpu_mean_percent,10,81.538,81.565,0.4615733333333371,0.6793918849481035,0.8332211790184988,80.44,81.10499999999999,81.85249999999999,82.81,2.3700000000000045,0.7475000000000023
debian,ubuntu,system_cpu_peak_percent,10,89.65,89.5,0.3072222222222225,0.5542763049438633,0.6182669324527197,88.7,89.4,90.175,90.4,1.7000000000000028,0.7749999999999915
debian,ubuntu,process_rss_mean_mb,10,283.2544,283.301,0.044814044444447636,0.2116932791669297,0.074736095597078,282.859,283.15975000000003,283.40500000000003,283.532,0.6730000000000018,0.24524999999999864
debian,ubuntu,process_rss_peak_mb,10,315.15229999999997,315.127,0.01789223333333273,0.13376185305733743,0.04244355921163749,314.961,315.08,315.254,315.371,0.40999999999996817,0.17400000000003502
debian,ubuntu,system_memory_used_mean_mb,10,834.8552999999999,836.265,30.911725122221917,5.559831393326772,0.6659634781412745,826.735,830.1577500000001,838.90375,841.473,14.737999999999943,8.745999999999867
debian,ubuntu,system_memory_used_peak_mb,10,864.5348,863.877,52.559071733333006,7.249763563960759,0.8385739433462664,854.359,858.3422499999999,869.529,874.395,20.035999999999945,11.186750000000075
debian,ubuntu,threads_mean,10,17.169999999999995,17.2,0.004555555555555497,0.06749485577105485,0.3930975874843033,17.0,17.2,17.2,17.2,0.1999999999999993,0.0
debian,ubuntu,threads_peak,10,19.0,19.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,0.0,0.0
debian,ubuntu,elapsed_s,10,10.009799999999998,10.009,4.177777777779699e-06,0.002043961295567922,0.020419601745968175,10.008,10.008,10.01175,10.013,0.005000000000000782,0.003750000000000142
debian,ubuntu,samples,10,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0
